calendar_month,month_name,intensity_score,seasonal_event,flash_sale_type,recommended_window,channel_priority,campaign_budget_weight
5,May,7.0,Dia das Mães (2nd Sunday) — biggest gifting event after BF,Standard Flash Sale (24h),Week 3 of the month,Email + Display,9.8
11,November,10.0,Black Friday — highest sales event of the year,Major Flash Event (48-72h),Week 2 and Week 4 of the month,Push + Email + Display + Retargeting,14.0
