"year_month","payment_type","order_count","total_revenue","avg_order_value","updated_at"
"2018-04","credit_card",5391,935070.04,173.45020218883326,"2026-05-28 06:44:25"
"2018-04","debit_card",94,10383.24,110.46,"2026-05-28 06:44:25"
"2018-04","voucher",131,14590.34,111.37664122137404,"2026-05-28 06:44:25"
"2018-05","boleto",1249,192688.3,154.2740592473979,"2026-05-28 06:44:25"
"2018-05","credit_card",5399,920675.35,170.52701426190035,"2026-05-28 06:44:25"
"2018-05","debit_card",50,9561.789999999999,191.23579999999998,"2026-05-28 06:44:25"
"2018-05","voucher",105,14746.880000000001,140.4464761904762,"2026-05-28 06:44:25"
"2018-06","boleto",1097,152860.73,139.34432999088423,"2026-05-28 06:44:25"
"2018-06","credit_card",4753,817524.14,172.0017126025668,"2026-05-28 06:44:25"
"2018-06","debit_card",180,35649.33,198.05183333333335,"2026-05-28 06:44:25"
"2018-06","voucher",112,14033.33,125.29758928571428,"2026-05-28 06:44:25"
"2018-07","boleto",1209,194324.94,160.73196029776676,"2026-05-28 06:44:25"
"2018-07","credit_card",4668,789424.08,169.11398457583547,"2026-05-28 06:44:25"
"2018-07","debit_card",238,39524.93,166.07113445378153,"2026-05-28 06:44:25"
"2018-07","voucher",104,12813.3,123.20480769230768,"2026-05-28 06:44:25"
"2018-08","boleto",1128,142363.24,126.20854609929077,"2026-05-28 06:44:25"
"2018-08","credit_card",4896,794999.04,162.37725490196078,"2026-05-28 06:44:25"
"2018-08","debit_card",276,45932.26,166.421231884058,"2026-05-28 06:44:25"
"2018-08","voucher",98,10538.36,107.53428571428572,"2026-05-28 06:44:25"
"2018-09","voucher",1,166.46,166.46,"2026-05-28 06:44:25"
