"is_high_value","payment_type","customer_state","avg_review_score","total_reviews","pct_5star","pct_1star","avg_delivery_days","late_delivery_rate","updated_at"
0,"boleto","AC",4.25,12,58.333333333333336,0,21,0,"2026-05-28 10:54:01"
0,"boleto","AL",3.4444444444444446,45,40,26.666666666666668,23.244444444444444,0.24444444444444444,"2026-05-28 10:54:01"
0,"boleto","AM",4.428571428571429,14,71.42857142857143,7.142857142857142,29.642857142857142,0.07142857142857142,"2026-05-28 10:54:01"
0,"boleto","AP",3.5833333333333335,12,33.33333333333333,16.666666666666664,25,0,"2026-05-28 10:54:01"
0,"boleto","BA",3.933054393305439,478,51.04602510460251,13.598326359832635,18.53347280334728,0.12552301255230125,"2026-05-28 10:54:01"
0,"boleto","CE",3.9261744966442955,149,51.006711409395976,12.751677852348994,18.026845637583893,0.10067114093959731,"2026-05-28 10:54:01"
0,"boleto","DF",4.043887147335423,319,56.42633228840125,10.658307210031348,12.021943573667711,0.047021943573667714,"2026-05-28 10:54:01"
0,"boleto","ES",4.006191950464396,323,54.179566563467496,12.074303405572756,15.544891640866872,0.13312693498452013,"2026-05-28 10:54:01"
0,"boleto","GO",4.063037249283668,349,55.014326647564474,10.315186246418339,14.636103151862464,0.05157593123209169,"2026-05-28 10:54:01"
0,"boleto","MA",3.854014598540146,137,46.715328467153284,15.328467153284672,18.99270072992701,0.15328467153284672,"2026-05-28 10:54:01"
0,"boleto","MG",4.139058171745153,1805,58.89196675900277,9.529085872576177,12.002216066481994,0.059833795013850416,"2026-05-28 10:54:01"
0,"boleto","MS",4.161764705882353,136,59.55882352941176,8.823529411764707,15.625,0.125,"2026-05-28 10:54:01"
0,"boleto","MT",4.04093567251462,171,53.80116959064327,9.35672514619883,16.45614035087719,0.07017543859649122,"2026-05-28 10:54:01"
0,"boleto","PA",3.9657534246575343,146,51.369863013698634,12.32876712328767,21.232876712328768,0.11643835616438356,"2026-05-28 10:54:01"
0,"boleto","PB",3.6538461538461537,52,44.230769230769226,19.230769230769234,21.346153846153847,0.19230769230769232,"2026-05-28 10:54:01"
0,"boleto","PE",4.166666666666667,198,62.121212121212125,11.616161616161616,18.065656565656564,0.10101010101010101,"2026-05-28 10:54:01"
0,"boleto","PI",3.9242424242424243,66,48.484848484848484,12.121212121212121,17.742424242424242,0.13636363636363635,"2026-05-28 10:54:01"
0,"boleto","PR",4.189732142857143,896,61.71875,9.040178571428571,12.224330357142858,0.04799107142857143,"2026-05-28 10:54:01"
0,"boleto","RJ",3.8350453172205436,1655,53.051359516616316,15.951661631419938,15.080966767371601,0.14380664652567976,"2026-05-28 10:54:01"
0,"boleto","RN",4.1875,48,58.333333333333336,8.333333333333332,21.520833333333332,0.14583333333333334,"2026-05-28 10:54:01"
0,"boleto","RO",3.8205128205128207,39,51.28205128205128,12.82051282051282,17.641025641025642,0.02564102564102564,"2026-05-28 10:54:01"
0,"boleto","RR",3.875,8,37.5,12.5,17.375,0,"2026-05-28 10:54:01"
0,"boleto","RS",4.119626168224299,1070,56.44859813084112,9.345794392523365,15.020560747663552,0.08037383177570094,"2026-05-28 10:54:01"
0,"boleto","SC",4.053175775480059,677,57.01624815361891,9.896602658788774,14.745937961595274,0.09010339734121123,"2026-05-28 10:54:01"
0,"boleto","SE",4.035714285714286,56,57.14285714285714,12.5,22.160714285714285,0.10714285714285714,"2026-05-28 10:54:01"
0,"boleto","SP",4.1418524614694,6683,59.41942241508305,9.726170881340716,8.718689211431991,0.0703276971420021,"2026-05-28 10:54:01"
0,"boleto","TO",4.296296296296297,54,64.81481481481481,7.4074074074074066,17.37037037037037,0.12962962962962962,"2026-05-28 10:54:01"
0,"credit_card","AC",3.925925925925926,27,51.85185185185185,18.51851851851852,20.62962962962963,0.037037037037037035,"2026-05-28 10:54:01"
0,"credit_card","AL",3.716417910447761,201,49.25373134328358,17.91044776119403,23.074626865671643,0.23880597014925373,"2026-05-28 10:54:01"
0,"credit_card","AM",4.109756097560975,82,58.536585365853654,7.317073170731707,24.548780487804876,0.024390243902439025,"2026-05-28 10:54:01"
0,"credit_card","AP",4.148148148148148,27,55.55555555555556,3.7037037037037033,22.74074074074074,0.037037037037037035,"2026-05-28 10:54:01"
0,"credit_card","BA",3.7908787541713016,1798,47.830923248053395,14.905450500556173,18.03281423804227,0.1407119021134594,"2026-05-28 10:54:01"
0,"credit_card","CE",3.8233576642335767,685,49.63503649635037,14.890510948905108,19.71824817518248,0.14744525547445256,"2026-05-28 10:54:01"
0,"credit_card","DF",4.086092715231788,1208,56.705298013245034,11.009933774834437,11.842715231788079,0.06705298013245033,"2026-05-28 10:54:01"
0,"credit_card","ES",4.002685765443151,1117,54.34198746642793,11.369740376007162,14.64816472694718,0.11817367949865712,"2026-05-28 10:54:01"
0,"credit_card","GO",4.011363636363637,1056,54.734848484848484,11.458333333333332,14.598484848484848,0.09943181818181818,"2026-05-28 10:54:01"
0,"credit_card","MA",3.675840978593272,327,44.342507645259936,18.654434250764528,19.345565749235472,0.19877675840978593,"2026-05-28 10:54:01"
0,"credit_card","MG",4.123923228048965,6617,58.546168958742626,9.95919601027656,10.690343055765453,0.05123167598609642,"2026-05-28 10:54:01"
0,"credit_card","MS",4.170940170940171,351,60.96866096866097,11.11111111111111,14.227920227920228,0.09686609686609686,"2026-05-28 10:54:01"
0,"credit_card","MT",4.163814180929095,409,56.96821515892421,7.579462102689487,16.880195599022006,0.07090464547677261,"2026-05-28 10:54:01"
0,"credit_card","PA",3.826603325415677,421,47.980997624703086,14.726840855106888,22.401425178147267,0.12826603325415678,"2026-05-28 10:54:01"
0,"credit_card","PB",3.970464135021097,237,55.69620253164557,12.236286919831224,19.421940928270043,0.11814345991561181,"2026-05-28 10:54:01"
0,"credit_card","PE",3.92018779342723,852,55.16431924882629,14.553990610328638,16.78286384976526,0.09859154929577464,"2026-05-28 10:54:01"
0,"credit_card","PI",3.9063829787234043,235,50.638297872340424,13.191489361702127,17.302127659574467,0.17446808510638298,"2026-05-28 10:54:01"
0,"credit_card","PR",4.180862631388184,2759,59.62305183037332,8.336353751359187,10.834360275462124,0.05110547299746285,"2026-05-28 10:54:01"
0,"credit_card","RJ",3.8633660627852304,7231,54.183377126261924,16.042041211450698,13.685520674872079,0.12183653713179367,"2026-05-28 10:54:01"
0,"credit_card","RN",4.041841004184101,239,56.48535564853556,11.715481171548117,17.02510460251046,0.09623430962343096,"2026-05-28 10:54:01"
0,"credit_card","RO",4.2254901960784315,102,60.78431372549019,6.862745098039216,17.04901960784314,0.0392156862745098,"2026-05-28 10:54:01"
0,"credit_card","RR",3.3684210526315788,19,31.57894736842105,21.052631578947366,22.31578947368421,0.10526315789473684,"2026-05-28 10:54:01"
0,"credit_card","RS",4.131941987973116,2827,58.40113194198797,9.76299964626813,14.270958613371064,0.06720905553590378,"2026-05-28 10:54:01"
0,"credit_card","SC",4.042925278219396,1887,55.90885002649708,11.446740858505565,13.839427662957075,0.10333863275039745,"2026-05-28 10:54:01"
0,"credit_card","SE",3.7974683544303796,158,51.26582278481012,18.9873417721519,18.411392405063292,0.14556962025316456,"2026-05-28 10:54:01"
0,"credit_card","SP",4.160009791522174,24511,60.04650973032516,9.363143078617764,7.522010525886337,0.05095671331239036,"2026-05-28 10:54:01"
0,"credit_card","TO",4.07563025210084,119,50.42016806722689,7.563025210084033,16.067226890756302,0.1092436974789916,"2026-05-28 10:54:01"
0,"debit_card","AC",5,1,100,0,13,0,"2026-05-28 10:54:01"
0,"debit_card","AL",2.6666666666666665,3,0,33.33333333333333,17.333333333333332,0.3333333333333333,"2026-05-28 10:54:01"
0,"debit_card","AM",3.5,2,50,0,25.5,0,"2026-05-28 10:54:01"
