"year_month","product_category_en","price_bucket","order_count","total_revenue","avg_price","updated_at"
"2017-02","electronics","B. 50-150",5,385.95,77.19,"2026-05-28 10:53:44"
"2017-02","electronics","C. 150-500",3,519,173,"2026-05-28 10:53:44"
"2017-02","fashio_female_clothing","B. 50-150",3,363.9,121.3,"2026-05-28 10:53:44"
"2017-02","fashion_bags_accessories","A. 0-50",22,764.14,34.733636363636364,"2026-05-28 10:53:44"
"2017-02","fashion_bags_accessories","B. 50-150",14,1231.18,87.94142857142857,"2026-05-28 10:53:44"
"2017-02","fashion_bags_accessories","C. 150-500",2,359.89,179.945,"2026-05-28 10:53:44"
"2017-02","fashion_male_clothing","A. 0-50",1,38.4,38.4,"2026-05-28 10:53:44"
"2017-02","fashion_male_clothing","B. 50-150",4,307.65,76.9125,"2026-05-28 10:53:44"
"2017-02","fashion_male_clothing","C. 150-500",1,199.9,199.9,"2026-05-28 10:53:44"
"2017-02","fashion_shoes","A. 0-50",3,107.05,35.68333333333333,"2026-05-28 10:53:44"
"2017-02","fashion_underwear_beach","A. 0-50",3,74.97,24.99,"2026-05-28 10:53:44"
"2017-02","fashion_underwear_beach","B. 50-150",5,322,64.4,"2026-05-28 10:53:44"
"2017-02","fixed_telephony","A. 0-50",20,495.34000000000003,24.767000000000003,"2026-05-28 10:53:44"
"2017-02","fixed_telephony","B. 50-150",2,263.89,131.945,"2026-05-28 10:53:44"
"2017-02","food","A. 0-50",4,77.13,19.2825,"2026-05-28 10:53:44"
"2017-02","food","B. 50-150",4,599.6,149.9,"2026-05-28 10:53:44"
"2017-02","furniture_bedroom","C. 150-500",1,450,450,"2026-05-28 10:53:44"
"2017-02","furniture_decor","A. 0-50",117,4160.61,35.560769230769225,"2026-05-28 10:53:44"
"2017-02","furniture_decor","B. 50-150",114,9968.39,87.44201754385965,"2026-05-28 10:53:44"
"2017-02","furniture_decor","C. 150-500",28,5824.51,208.0182142857143,"2026-05-28 10:53:44"
"2017-02","furniture_living_room","B. 50-150",17,1803.74,106.10235294117648,"2026-05-28 10:53:44"
"2017-02","furniture_living_room","C. 150-500",5,1709.8899999999999,341.97799999999995,"2026-05-28 10:53:44"
"2017-02","garden_tools","A. 0-50",21,786.52,37.45333333333333,"2026-05-28 10:53:44"
"2017-02","garden_tools","B. 50-150",31,3191.41,102.94870967741934,"2026-05-28 10:53:44"
"2017-02","garden_tools","C. 150-500",12,3198.79,266.56583333333333,"2026-05-28 10:53:44"
"2017-02","garden_tools","D. 500+",6,5207.889999999999,867.9816666666666,"2026-05-28 10:53:44"
"2017-02","health_beauty","A. 0-50",68,1735.85,25.52720588235294,"2026-05-28 10:53:44"
"2017-02","health_beauty","B. 50-150",40,3504.4500000000003,87.61125000000001,"2026-05-28 10:53:44"
"2017-02","health_beauty","C. 150-500",35,8501.89,242.91114285714283,"2026-05-28 10:53:44"
"2017-02","health_beauty","D. 500+",14,8396.95,599.782142857143,"2026-05-28 10:53:44"
"2017-02","home_appliances","A. 0-50",2,77.9,38.95,"2026-05-28 10:53:44"
"2017-02","home_appliances","B. 50-150",3,345,115,"2026-05-28 10:53:44"
"2017-02","home_appliances","C. 150-500",2,318,159,"2026-05-28 10:53:44"
"2017-02","home_appliances_2","A. 0-50",1,15.99,15.99,"2026-05-28 10:53:44"
"2017-02","home_confort","B. 50-150",2,184.66000000000003,92.33000000000001,"2026-05-28 10:53:44"
"2017-02","home_confort","C. 150-500",1,230,230,"2026-05-28 10:53:44"
"2017-02","home_construction","B. 50-150",1,134.9,134.9,"2026-05-28 10:53:44"
"2017-02","home_construction","C. 150-500",3,560.7,186.9,"2026-05-28 10:53:44"
"2017-02","housewares","A. 0-50",45,1222.86,27.174666666666663,"2026-05-28 10:53:44"
"2017-02","housewares","B. 50-150",15,1381.2,92.08,"2026-05-28 10:53:44"
"2017-02","housewares","C. 150-500",10,2061.08,206.108,"2026-05-28 10:53:44"
"2017-02","housewares","D. 500+",1,6735,6735,"2026-05-28 10:53:44"
"2017-02","industry_commerce_and_business","B. 50-150",1,119,119,"2026-05-28 10:53:44"
"2017-02","kitchen_dining_laundry_garden_furniture","A. 0-50",1,29.9,29.9,"2026-05-28 10:53:44"
"2017-02","kitchen_dining_laundry_garden_furniture","B. 50-150",1,110,110,"2026-05-28 10:53:44"
"2017-02","luggage_accessories","B. 50-150",20,1659.19,82.9595,"2026-05-28 10:53:44"
"2017-02","market_place","A. 0-50",8,211.68,26.46,"2026-05-28 10:53:44"
"2017-02","market_place","B. 50-150",9,663,73.66666666666667,"2026-05-28 10:53:44"
"2017-02","market_place","C. 150-500",3,699.54,233.17999999999998,"2026-05-28 10:53:44"
"2017-02","musical_instruments","A. 0-50",2,63.76,31.88,"2026-05-28 10:53:44"
"2017-02","musical_instruments","B. 50-150",4,370.8,92.7,"2026-05-28 10:53:44"
"2017-02","musical_instruments","C. 150-500",2,489.47,244.735,"2026-05-28 10:53:44"
"2017-02","musical_instruments","D. 500+",1,1297.25,1297.25,"2026-05-28 10:53:44"
"2017-02","office_furniture","B. 50-150",41,4726.65,115.28414634146341,"2026-05-28 10:53:44"
"2017-02","office_furniture","C. 150-500",16,2901.56,181.3475,"2026-05-28 10:53:44"
"2017-02","office_furniture","D. 500+",5,3217.77,643.554,"2026-05-28 10:53:44"
"2017-02","perfumery","A. 0-50",6,132.4,22.066666666666666,"2026-05-28 10:53:44"
"2017-02","perfumery","B. 50-150",27,2291.58,84.87333333333333,"2026-05-28 10:53:44"
